id,name,height,weight,base_experience,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities
1,bulbasaur,7,69,64,grass,poison,45,49,49,65,65,45,"overgrow, chlorophyll"
2,ivysaur,10,130,142,grass,poison,60,62,63,80,80,60,"overgrow, chlorophyll"
3,venusaur,20,1000,236,grass,poison,80,82,83,100,100,80,"overgrow, chlorophyll"
4,charmander,6,85,62,fire,,39,52,43,60,50,65,"blaze, solar-power"
5,charmeleon,11,190,142,fire,,58,64,58,80,65,80,"blaze, solar-power"
6,charizard,17,905,240,fire,flying,78,84,78,109,85,100,"blaze, solar-power"
7,squirtle,5,90,63,water,,44,48,65,50,64,43,"torrent, rain-dish"
8,wartortle,10,225,142,water,,59,63,80,65,80,58,"torrent, rain-dish"
9,blastoise,16,855,239,water,,79,83,100,85,105,78,"torrent, rain-dish"
10,caterpie,3,29,39,bug,,45,30,35,20,20,45,"shield-dust, run-away"
11,metapod,7,99,72,bug,,50,20,55,25,25,30,shed-skin
12,butterfree,11,320,178,bug,flying,60,45,50,90,80,70,"compound-eyes, tinted-lens"
13,weedle,3,32,39,bug,poison,40,35,30,20,20,50,"shield-dust, run-away"
14,kakuna,6,100,72,bug,poison,45,25,50,25,25,35,shed-skin
15,beedrill,10,295,178,bug,poison,65,90,40,45,80,75,"swarm, sniper"
16,pidgey,3,18,50,normal,flying,40,45,40,35,35,56,"keen-eye, tangled-feet, big-pecks"
17,pidgeotto,11,300,122,normal,flying,63,60,55,50,50,71,"keen-eye, tangled-feet, big-pecks"
18,pidgeot,15,395,216,normal,flying,83,80,75,70,70,101,"keen-eye, tangled-feet, big-pecks"
19,rattata,3,35,51,normal,,30,56,35,25,35,72,"run-away, guts, hustle"
20,raticate,7,185,145,normal,,55,81,60,50,70,97,"run-away, guts, hustle"
21,spearow,3,20,52,normal,flying,40,60,30,31,31,70,"keen-eye, sniper"
22,fearow,12,380,155,normal,flying,65,90,65,61,61,100,"keen-eye, sniper"
23,ekans,20,69,58,poison,,35,60,44,40,54,55,"intimidate, shed-skin, unnerve"
24,arbok,35,650,157,poison,,60,95,69,65,79,80,"intimidate, shed-skin, unnerve"
25,pikachu,4,60,112,electric,,35,55,40,50,50,90,"static, lightning-rod"
26,raichu,8,300,218,electric,,60,90,55,90,80,110,"static, lightning-rod"
27,sandshrew,6,120,60,ground,,50,75,85,20,30,40,"sand-veil, sand-rush"
28,sandslash,10,295,158,ground,,75,100,110,45,55,65,"sand-veil, sand-rush"
29,nidoran-f,4,70,55,poison,,55,47,52,40,40,41,"poison-point, rivalry, hustle"
30,nidorina,8,200,128,poison,,70,62,67,55,55,56,"poison-point, rivalry, hustle"
31,nidoqueen,13,600,227,poison,ground,90,92,87,75,85,76,"poison-point, rivalry, sheer-force"
32,nidoran-m,5,90,55,poison,,46,57,40,40,40,50,"poison-point, rivalry, hustle"
33,nidorino,9,195,128,poison,,61,72,57,55,55,65,"poison-point, rivalry, hustle"
34,nidoking,14,620,227,poison,ground,81,102,77,85,75,85,"poison-point, rivalry, sheer-force"
35,clefairy,6,75,113,fairy,,70,45,48,60,65,35,"cute-charm, magic-guard, friend-guard"
36,clefable,13,400,217,fairy,,95,70,73,95,90,60,"cute-charm, magic-guard, unaware"
37,vulpix,6,99,60,fire,,38,41,40,50,65,65,"flash-fire, drought"
38,ninetales,11,199,177,fire,,73,76,75,81,100,100,"flash-fire, drought"
39,jigglypuff,5,55,95,normal,fairy,115,45,20,45,25,20,"cute-charm, competitive, friend-guard"
40,wigglytuff,10,120,196,normal,fairy,140,70,45,85,50,45,"cute-charm, competitive, frisk"
41,zubat,8,75,49,poison,flying,40,45,35,30,40,55,"inner-focus, infiltrator"
42,golbat,16,550,159,poison,flying,75,80,70,65,75,90,"inner-focus, infiltrator"
43,oddish,5,54,64,grass,poison,45,50,55,75,65,30,"chlorophyll, run-away"
44,gloom,8,86,138,grass,poison,60,65,70,85,75,40,"chlorophyll, stench"
45,vileplume,12,186,221,grass,poison,75,80,85,110,90,50,"chlorophyll, effect-spore"
46,paras,3,54,57,bug,grass,35,70,55,45,55,25,"effect-spore, dry-skin, damp"
47,parasect,10,295,142,bug,grass,60,95,80,60,80,30,"effect-spore, dry-skin, damp"
48,venonat,10,300,61,bug,poison,60,55,50,40,55,45,"compound-eyes, tinted-lens, run-away"
49,venomoth,15,125,158,bug,poison,70,65,60,90,75,90,"shield-dust, tinted-lens, wonder-skin"
50,diglett,2,8,53,ground,,10,55,25,35,45,95,"sand-veil, arena-trap, sand-force"
51,dugtrio,7,333,149,ground,,35,100,50,50,70,120,"sand-veil, arena-trap, sand-force"
52,meowth,4,42,58,normal,,40,45,35,40,40,90,"pickup, technician, unnerve"
53,persian,10,320,154,normal,,65,70,60,65,65,115,"limber, technician, unnerve"
54,psyduck,8,196,64,water,,50,52,48,65,50,55,"damp, cloud-nine, swift-swim"
55,golduck,17,766,175,water,,80,82,78,95,80,85,"damp, cloud-nine, swift-swim"
56,mankey,5,280,61,fighting,,40,80,35,35,45,70,"vital-spirit, anger-point, defiant"
57,primeape,10,320,159,fighting,,65,105,60,60,70,95,"vital-spirit, anger-point, defiant"
58,growlithe,7,190,70,fire,,55,70,45,70,50,60,"intimidate, flash-fire, justified"
59,arcanine,19,1550,194,fire,,90,110,80,100,80,95,"intimidate, flash-fire, justified"
60,poliwag,6,124,60,water,,40,50,40,40,40,90,"water-absorb, damp, swift-swim"
61,poliwhirl,10,200,135,water,,65,65,65,50,50,90,"water-absorb, damp, swift-swim"
62,poliwrath,13,540,230,water,fighting,90,95,95,70,90,70,"water-absorb, damp, swift-swim"
63,abra,9,195,62,psychic,,25,20,15,105,55,90,"synchronize, inner-focus, magic-guard"
64,kadabra,13,565,140,psychic,,40,35,30,120,70,105,"synchronize, inner-focus, magic-guard"
65,alakazam,15,480,225,psychic,,55,50,45,135,95,120,"synchronize, inner-focus, magic-guard"
66,machop,8,195,61,fighting,,70,80,50,35,35,35,"guts, no-guard, steadfast"
67,machoke,15,705,142,fighting,,80,100,70,50,60,45,"guts, no-guard, steadfast"
68,machamp,16,1300,227,fighting,,90,130,80,65,85,55,"guts, no-guard, steadfast"
69,bellsprout,7,40,60,grass,poison,50,75,35,70,30,40,"chlorophyll, gluttony"
70,weepinbell,10,64,137,grass,poison,65,90,50,85,45,55,"chlorophyll, gluttony"
71,victreebel,17,155,221,grass,poison,80,105,65,100,70,70,"chlorophyll, gluttony"
72,tentacool,9,455,67,water,poison,40,40,35,50,100,70,"clear-body, liquid-ooze, rain-dish"
73,tentacruel,16,550,180,water,poison,80,70,65,80,120,100,"clear-body, liquid-ooze, rain-dish"
74,geodude,4,200,60,rock,ground,40,80,100,30,30,20,"rock-head, sturdy, sand-veil"
75,graveler,10,1050,137,rock,ground,55,95,115,45,45,35,"rock-head, sturdy, sand-veil"
76,golem,14,3000,223,rock,ground,80,120,130,55,65,45,"rock-head, sturdy, sand-veil"
77,ponyta,10,300,82,fire,,50,85,55,65,65,90,"run-away, flash-fire, flame-body"
78,rapidash,17,950,175,fire,,65,100,70,80,80,105,"run-away, flash-fire, flame-body"
79,slowpoke,12,360,63,water,psychic,90,65,65,40,40,15,"oblivious, own-tempo, regenerator"
80,slowbro,16,785,172,water,psychic,95,75,110,100,80,30,"oblivious, own-tempo, regenerator"
81,magnemite,3,60,65,electric,steel,25,35,70,95,55,45,"magnet-pull, sturdy, analytic"
82,magneton,10,600,163,electric,steel,50,60,95,120,70,70,"magnet-pull, sturdy, analytic"
83,farfetchd,8,150,132,normal,flying,52,90,55,58,62,60,"keen-eye, inner-focus, defiant"
84,doduo,14,392,62,normal,flying,35,85,45,35,35,75,"run-away, early-bird, tangled-feet"
85,dodrio,18,852,165,normal,flying,60,110,70,60,60,110,"run-away, early-bird, tangled-feet"
86,seel,11,900,65,water,,65,45,55,45,70,45,"thick-fat, hydration, ice-body"
87,dewgong,17,1200,166,water,ice,90,70,80,70,95,70,"thick-fat, hydration, ice-body"
88,grimer,9,300,65,poison,,80,80,50,40,50,25,"stench, sticky-hold, poison-touch"
89,muk,12,300,175,poison,,105,105,75,65,100,50,"stench, sticky-hold, poison-touch"
90,shellder,3,40,61,water,,30,65,100,45,25,40,"shell-armor, skill-link, overcoat"
91,cloyster,15,1325,184,water,ice,50,95,180,85,45,70,"shell-armor, skill-link, overcoat"
92,gastly,13,1,62,ghost,poison,30,35,30,100,35,80,levitate
93,haunter,16,1,142,ghost,poison,45,50,45,115,55,95,levitate
94,gengar,15,405,225,ghost,poison,60,65,60,130,75,110,cursed-body
95,onix,88,2100,77,rock,ground,35,45,160,30,45,70,"rock-head, sturdy, weak-armor"
96,drowzee,10,324,66,psychic,,60,48,45,43,90,42,"insomnia, forewarn, inner-focus"
97,hypno,16,756,169,psychic,,85,73,70,73,115,67,"insomnia, forewarn, inner-focus"
98,krabby,4,65,65,water,,30,105,90,25,25,50,"hyper-cutter, shell-armor, sheer-force"
99,kingler,13,600,166,water,,55,130,115,50,50,75,"hyper-cutter, shell-armor, sheer-force"
100,voltorb,5,104,66,electric,,40,30,50,55,55,100,"soundproof, static, aftermath"
101,electrode,12,666,172,electric,,60,50,70,80,80,150,"soundproof, static, aftermath"
102,exeggcute,4,25,65,grass,psychic,60,40,80,60,45,40,"chlorophyll, harvest"
103,exeggutor,20,1200,186,grass,psychic,95,95,85,125,75,55,"chlorophyll, harvest"
104,cubone,4,65,64,ground,,50,50,95,40,50,35,"rock-head, lightning-rod, battle-armor"
105,marowak,10,450,149,ground,,60,80,110,50,80,45,"rock-head, lightning-rod, battle-armor"
106,hitmonlee,15,498,159,fighting,,50,120,53,35,110,87,"limber, reckless, unburden"
107,hitmonchan,14,502,159,fighting,,50,105,79,35,110,76,"keen-eye, iron-fist, inner-focus"
108,lickitung,12,655,77,normal,,90,55,75,60,75,30,"own-tempo, oblivious, cloud-nine"
109,koffing,6,10,68,poison,,40,65,95,60,45,35,"levitate, neutralizing-gas, stench"
110,weezing,12,95,172,poison,,65,90,120,85,70,60,"levitate, neutralizing-gas, stench"
