,id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,No,Yes
0,1,340.0,116.0,1518.0,1.0,-0.43318409026302795,3,0.0,27,1,73,81,93,97,63,80,87,1.0,0.0
1,2,114.0,569.0,477.0,0.0,-0.43318409026302795,2,0.0,47,0,90,86,96,100,90,88,90,1.0,0.0
2,3,423.0,12.0,1888.0,0.0,-0.43318409026302795,9,1.0,13,0,81,97,95,96,65,77,94,0.0,1.0
3,4,412.0,129.0,1829.0,0.0,-0.43318409026302795,5,0.0,3,0,71,74,88,80,89,63,86,1.0,0.0
4,5,34.0,104.0,143.0,1.0,-0.43318409026302795,5,0.0,10,1,84,77,65,65,80,74,76,1.0,0.0
5,6,250.0,652.0,1068.0,0.0,-0.43318409026302795,2,0.0,26,0,93,100,67,78,72,80,84,1.0,0.0
6,7,34.0,601.0,158.0,1.0,-0.43318409026302795,3,1.0,23,1,99,96,97,73,88,76,64,0.0,1.0
7,8,170.0,593.0,679.0,1.0,2.3084873670979085,2,1.0,34,1,95,95,82,63,84,70,85,0.0,1.0
8,9,399.0,263.0,1763.0,1.0,-0.43318409026302795,6,0.0,25,1,94,68,94,85,81,74,72,1.0,0.0
9,10,39.0,596.0,182.0,0.0,-0.43318409026302795,3,1.0,18,0,98,69,88,71,67,71,73,0.0,1.0
10,11,166.0,682.0,667.0,0.0,-0.43318409026302795,2,0.0,7,0,65,60,97,94,71,81,66,1.0,0.0
11,12,97.0,525.0,411.0,1.0,-0.43318409026302795,1,0.0,7,1,80,61,100,65,87,64,61,1.0,0.0
12,13,338.0,246.0,1498.0,0.0,2.3084873670979085,7,0.0,4,0,94,59,69,67,89,65,73,1.0,0.0
13,14,337.0,324.0,1490.0,0.0,-0.43318409026302795,10,0.0,2,0,66,94,86,100,57,90,63,1.0,0.0
14,15,268.0,324.0,1150.0,0.0,-0.43318409026302795,3,0.0,39,0,96,90,86,92,92,95,87,1.0,0.0
15,16,367.0,683.0,1648.0,1.0,-0.43318409026302795,6,0.0,0,1,94,50,78,64,79,74,84,1.0,0.0
16,17,439.0,634.0,1938.0,0.0,-0.43318409026302795,3,1.0,30,0,92,64,93,91,80,89,72,0.0,1.0
17,18,306.0,165.0,1317.0,1.0,-0.43318409026302795,2,1.0,28,1,86,83,85,79,93,76,77,0.0,1.0
18,19,225.0,678.0,948.0,1.0,-0.43318409026302795,1,0.0,37,1,92,87,92,99,97,87,86,1.0,0.0
19,20,26.0,542.0,121.0,0.0,-0.43318409026302795,2,0.0,27,0,99,65,98,75,66,72,100,1.0,0.0
20,21,421.0,463.0,1876.0,1.0,2.3084873670979085,3,0.0,15,1,100,90,72,98,73,97,72,1.0,0.0
21,22,263.0,688.0,1137.0,1.0,-0.43318409026302795,8,0.0,4,1,57,55,78,94,83,88,88,1.0,0.0
22,23,384.0,596.0,1734.0,0.0,-0.43318409026302795,9,0.0,2,0,89,72,68,72,71,54,90,1.0,0.0
23,24,381.0,258.0,1721.0,1.0,-0.43318409026302795,9,0.0,1,1,50,76,81,55,56,80,79,1.0,0.0
24,25,80.0,679.0,309.0,0.0,-0.43318409026302795,4,0.0,35,0,87,91,90,88,95,88,93,1.0,0.0
25,26,338.0,124.0,1495.0,0.0,-0.43318409026302795,5,0.0,22,0,92,86,87,81,93,90,99,1.0,0.0
26,27,200.0,686.0,790.0,1.0,-0.43318409026302795,3,0.0,34,1,100,77,80,94,63,90,90,1.0,0.0
27,28,344.0,238.0,1531.0,1.0,-0.43318409026302795,0,0.0,23,1,64,75,93,79,81,96,85,1.0,0.0
28,29,203.0,61.0,797.0,1.0,-0.43318409026302795,1,1.0,17,1,79,65,99,71,76,77,83,0.0,1.0
29,30,76.0,296.0,297.0,0.0,-0.43318409026302795,3,0.0,19,0,82,100,61,97,30,74,73,1.0,0.0
30,31,28.0,429.0,125.0,0.0,-0.43318409026302795,0,0.0,14,0,88,69,87,100,88,85,72,1.0,0.0
31,32,108.0,353.0,444.0,0.0,-0.43318409026302795,4,0.0,30,0,70,68,92,74,82,85,72,1.0,0.0
32,33,422.0,83.0,1880.0,1.0,-0.43318409026302795,4,0.0,30,1,77,96,98,89,85,62,62,1.0,0.0
33,34,347.0,172.0,1543.0,0.0,-0.43318409026302795,1,0.0,24,0,99,84,84,78,78,77,68,1.0,0.0
34,35,278.0,90.0,1196.0,0.0,-0.43318409026302795,3,1.0,31,0,90,93,91,80,86,69,62,0.0,1.0
35,36,250.0,197.0,1062.0,0.0,-0.43318409026302795,1,0.0,21,0,65,70,78,98,80,66,65,1.0,0.0
36,37,373.0,366.0,1663.0,1.0,-0.43318409026302795,2,1.0,19,1,99,94,87,71,89,91,96,0.0,1.0
37,38,313.0,243.0,1369.0,1.0,-0.43318409026302795,1,0.0,29,1,92,100,85,89,81,91,88,1.0,0.0
38,39,316.0,396.0,1413.0,1.0,-0.43318409026302795,4,0.0,21,1,77,64,64,88,94,82,78,1.0,0.0
39,40,93.0,631.0,404.0,1.0,-0.43318409026302795,4,0.0,18,1,92,60,66,87,60,83,95,1.0,0.0
40,41,149.0,303.0,612.0,0.0,-0.43318409026302795,4,0.0,31,0,85,97,64,90,79,81,81,1.0,0.0
41,42,211.0,527.0,890.0,1.0,2.3084873670979085,7,0.0,4,1,65,55,66,50,88,56,86,1.0,0.0
42,43,269.0,198.0,1166.0,0.0,2.3084873670979085,6,0.0,3,0,93,94,92,77,87,98,63,1.0,0.0
43,44,337.0,137.0,1483.0,0.0,-0.43318409026302795,4,0.0,3,0,97,99,85,96,91,68,66,1.0,0.0
44,45,119.0,242.0,497.0,1.0,2.3084873670979085,4,0.0,3,1,54,99,79,57,53,95,83,1.0,0.0
45,46,253.0,166.0,1077.0,1.0,2.3084873670979085,5,1.0,5,1,88,53,50,58,84,53,96,0.0,1.0
46,47,148.0,395.0,604.0,0.0,-0.43318409026302795,5,1.0,27,0,71,85,93,68,100,91,87,0.0,1.0
47,48,49.0,606.0,211.0,1.0,-0.43318409026302795,0,1.0,28,1,81,98,74,70,97,65,65,0.0,1.0
48,49,256.0,342.0,1108.0,0.0,-0.43318409026302795,4,0.0,32,0,80,78,86,80,64,68,100,1.0,0.0
49,50,396.0,466.0,1757.0,0.0,-0.43318409026302795,0,0.0,14,0,100,89,90,93,30,83,74,1.0,0.0
50,51,93.0,618.0,403.0,1.0,-0.43318409026302795,6,1.0,16,1,76,72,96,65,89,87,94,0.0,1.0
51,52,377.0,635.0,1696.0,0.0,-0.43318409026302795,2,0.0,24,0,99,81,73,70,85,86,61,1.0,0.0
52,53,285.0,585.0,1228.0,1.0,-0.43318409026302795,9,0.0,0,1,64,70,61,81,82,51,70,1.0,0.0
53,54,276.0,520.0,1187.0,0.0,-0.43318409026302795,3,0.0,32,0,90,96,86,61,89,98,68,1.0,0.0
54,55,196.0,631.0,779.0,1.0,-0.43318409026302795,2,0.0,3,1,85,100,92,68,60,77,83,1.0,0.0
55,56,204.0,456.0,834.0,0.0,-0.43318409026302795,6,0.0,31,0,91,60,84,88,76,71,99,1.0,0.0
56,57,311.0,366.0,1344.0,0.0,-0.43318409026302795,3,0.0,21,0,95,72,79,86,87,81,62,1.0,0.0
57,58,119.0,647.0,519.0,1.0,2.3084873670979085,2,0.0,18,1,94,78,73,97,67,78,99,1.0,0.0
58,59,191.0,272.0,740.0,1.0,-0.43318409026302795,7,0.0,26,1,94,89,64,96,91,95,77,1.0,0.0
59,60,79.0,400.0,305.0,1.0,-0.43318409026302795,4,0.0,23,1,89,99,90,79,85,96,98,1.0,0.0
60,61,315.0,554.0,1410.0,0.0,-0.43318409026302795,2,0.0,1,0,91,81,88,71,78,83,76,1.0,0.0
61,62,65.0,356.0,267.0,0.0,-0.43318409026302795,5,0.0,33,0,83,86,61,99,99,88,73,1.0,0.0
62,63,62.0,370.0,257.0,1.0,-0.43318409026302795,7,0.0,2,1,98,65,53,64,52,96,62,1.0,0.0
63,64,438.0,102.0,1935.0,0.0,-0.43318409026302795,1,0.0,34,0,83,97,65,88,67,95,69,1.0,0.0
64,65,151.0,533.0,636.0,1.0,-0.43318409026302795,2,0.0,18,1,91,73,99,70,63,80,78,1.0,0.0
65,66,262.0,672.0,1128.0,0.0,2.3084873670979085,6,0.0,2,0,90,54,77,74,76,96,88,1.0,0.0
66,67,34.0,601.0,157.0,1.0,-0.43318409026302795,3,0.0,27,1,92,86,66,69,100,71,80,1.0,0.0
67,68,403.0,614.0,1796.0,1.0,-0.43318409026302795,2,0.0,8,1,64,64,73,76,72,97,91,1.0,0.0
68,69,184.0,166.0,720.0,1.0,-0.43318409026302795,4,0.0,14,1,90,70,85,60,81,71,88,1.0,0.0
69,70,353.0,587.0,1561.0,1.0,-0.43318409026302795,10,1.0,22,1,99,81,96,69,91,87,83,0.0,1.0
70,71,212.0,500.0,895.0,0.0,-0.43318409026302795,1,0.0,15,0,89,66,93,81,86,88,70,1.0,0.0
71,72,256.0,64.0,1102.0,0.0,2.3084873670979085,3,0.0,22,0,62,87,93,83,93,97,73,1.0,0.0
