"title","fulltitle","description","view_count","categories","tags","duration","duration_string","live_status","thumbnail","channel","channel_url","channel_follower_count"
"ROSÉ & Bruno Mars - APT. (Official Music Video)","ROSÉ & Bruno Mars - APT. (Official Music Video)","ROSÉ & Bruno Mars - APT.
Download/stream: https://rosesarerosie.lnk.to/APTID

Order APT. single CD: https://rosesarerosie.lnk.to/APT-CDID

'rosie' - the first studio album by ROSÉ - out now
download/stream: http://rosesarerosie.lnk.to/rosieID

ROSÉ store exclusive 'rosie' vinyl, cd's, and more available now: http://rosesarerosie.lnk.to/storeID

Follow ROSÉ:
https://www.instagram.com/roses_are_rosie
https://www.tiktok.com/@roses_are_rosie 
https://x.com/numberonehq
https://www.facebook.com/rosesarerosieofficial
https://www.rosesarerosie.com/

Follow Bruno Mars:
https://www.instagram.com/brunomars
https://www.tiktok.com/@brunomars
https://twitter.com/brunomars
https://www.facebook.com/brunomars
https://www.brunomars.com/

Lyrics: 
아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

Kissy face, kissy face
Sent to your phone but,
I'm trying to kiss your lips for real
Red hearts, red hearts
That’s what I’m on yeah
Come give me something I can feel
Oh oh oh
Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy
All you gotta do is just meet me at the

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

아파트 아파트 
아파트 아파트
아파트 아파트
Uh, uh huh uh huh

It’s whatever it’s whatever it’s whatever you like
Turn this 아파트 into a club
I’m talking drink, dance, smoke, freak, party all night 
건배 건배 girl what’s up
Oh oh oh
Don't you want me like I want you, baby
Don't you need me like I need you now
Sleep tomorrow but tonight go crazy
All you gotta do is just meet me at the

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh

Hey so now you know the game Are you ready?
Cause I’m comin to get ya
Get ya, get ya
Hold on, hold on
I’m on my way
Yeah yeah yeah yeah yeah

I’m on my way
Hold on, hold on
I’m on my way
Yeah yeah yeah yeah yeah I’m on my way
Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy 
All you gotta do is just meet me at the

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the (Uh huh uh huh)

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the (Uh huh uh huh) 

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the (Uh huh uh huh)

아파트 아파트 
아파트 아파트

아파트 아파트
Uh, uh huh uh huh

#ROSÉ_BRUNO_APT #APT #ROSÉ #BrunoMars #MusicVideo","2009014557","Music","YG Entertainment;YG;와이지;K-pop;BLACKPINK;블랙핑크;블핑;로제;Rosé;BLINK;블링크;bruno mars;APT.;apt;apartment game;meet me at the;meet me at the apt;bruno mars rose apt;rose;rosesarerosie;rose apt;rose apt music video;rose apt video;rose bruno mars;rose bruno mars kiss;rose kiss","173","2:53","False","https://i.ytimg.com/vi_webp/ekr2nIex040/maxresdefault.webp","ROSÉ","https://www.youtube.com/channel/UCBo1hnzxV9rz3WVsv__Rn1g","19200000"
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)","Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)","MAYHEM OUT NOW
http://ladygaga.com 
 
Listen to “Die With A Smile”, song and video out now: http://GagaMars.lnk.to/DieWithASmile 
 
Directed by Daniel Ramos & Bruno Mars
 
Follow Lady Gaga: 
Facebook: https://www.facebook.com/ladygaga  
Instagram: https://www.instagram.com/ladygaga  
TikTok: https://www.tiktok.com/@ladygaga  
Twitter: https://twitter.com/ladygaga   
YouTube: https://www.youtube.com/ladygaga     
Website: https://www.ladygaga.com     
 
Follow Bruno Mars: 
Facebook: https://www.facebook.com/brunomars/ 
Instagram: https://www.instagram.com/brunomars 
Twitter: https://x.com/brunomars 
TikTok:  https://www.tiktok.com/@brunomars 
YouTube: https://www.youtube.com/brunomars     
Website: https://www.brunomars.com/ 
Official Store: https://brunomars.lnk.to/shop 

Music video by Lady Gaga, Bruno Mars performing Die With A Smile.© 2024 Interscope Records","1324833300","Music","Lady Gaga;Bruno Mars;Interscope;Pop","252","4:12","False","https://i.ytimg.com/vi/kPa7bsKwL-c/maxresdefault.jpg","Lady Gaga","https://www.youtube.com/channel/UC07Kxew-cMIaykMOkzqHtBQ","29600000"
"Reneé Rapp - Leave Me Alone (Official Music Video)","Reneé Rapp - Leave Me Alone (Official Music Video)","Listen to “BITE ME”, the new album from Reneé Rapp, out now: http://ReneeRapp.lnk.to/BITEME 

Get tickets to the BITE ME TOUR: http://reneerapp.com/tour 
 
Follow Reneé Rapp:
TikTok: https://www.tiktok.com/@reneerapp
Instagram: https://www.instagram.com/reneerapp
Twitter: https://www.twitter.com/reneerapp
Facebook: https://www.facebook.com/reneemjrapp
Website: https://www.reneerapp.com
 
http://BITE.ME","2536628","Music","Reneé Rapp;Interscope Records;Pop","160","2:40","False","https://i.ytimg.com/vi/tiPWzFLiz4A/maxresdefault.jpg","Reneé Rapp","https://www.youtube.com/channel/UCZy4ki_L4bzw9LdJ1TgQy6Q","408000"
"Billie Eilish - BIRDS OF A FEATHER (Official Music Video)","Billie Eilish - BIRDS OF A FEATHER (Official Music Video)","Listen to HIT ME HARD AND SOFT: https://billieeilish.lnk.to/HITMEHARDANDSOFT 
Download BIRDS OF A FEATHER Live from Billie’s Amazon Music Songline performance: https://billieeilish.lnk.to/BIRDSOFAFEATHER-AMAZONDOWNLOAD
Get tickets: https://BillieEilish.lnk.to/TourDates 

 Follow Billie Eilish: 

TikTok: https://BillieEilish.lnk.to/TikTok 
Instagram: https://BillieEilish.lnk.to/Instagram 
Facebook: https://BillieEilish.lnk.to/Facebook 
Twitter: https://BillieEilish.lnk.to/Twitter 
YouTube: https://www.youtube.com/billieeilish
WhatsApp: https://BillieEilish.lnk.to/WhatsApp 
Email: https://BillieEilish.lnk.to/SignUp 
Store: https://BillieEilish.lnk.to/Store 
Cell: +1 (310) 807-3956

Music video by Billie Eilish performing BIRDS OF A FEATHER.© 2024 Darkroom/Interscope Records","558329099","Music","Billie Eilish;Darkroom/Interscope Records;Alternative","231","3:51","False","https://i.ytimg.com/vi/V9PVRfjEBTI/maxresdefault.jpg","Billie Eilish","https://www.youtube.com/channel/UCDGmojLIoWpXok597xYo8cg","56800000"
"Reneé Rapp - Mad (Official Music Video)","Reneé Rapp - Mad (Official Music Video)","Listen to “BITE ME”, the new album from Reneé Rapp, out now: http://ReneeRapp.lnk.to/BITEME 

Get tickets to the BITE ME Tour: http://reneerapp.com/tour

Follow Reneé Rapp:
TikTok: https://www.tiktok.com/@reneerapp
Instagram: https://www.instagram.com/reneerapp
Twitter: https://twitter.com/reneerapp
Facebook: https://www.facebook.com/reneemjrapp
Website: https://www.reneerapp.com

Directed by Luke Orlando
Starring Reneé Rapp & Alexandra Shipp

Production Company EXGF
Executive Producer Nance Messineo
Executive Producer Cole Santiago 
Producer Ellie Loarca
Production Manager Meredith Kurey
Production Coordinator Naomi Zariza
1st Assistant Director Tasha Petty
Label Interscope
Director Representation Cheyenne Cody of Lark Creative

Editor Seth Ponzo of Turbine Post
Color Brian Charles
VFX Ben Kadie

Director of Photography Zayd Ezzeldine
B Camera Operator Sebastian Plaza
1st AC Chris Powers
2nd AC Carolina Thompson
DIT Kohl Bass

Reneé Rapp Stylist Kate Li
Reneé Rapp Makeup Artist Loren Canby
Reneé Rapp Hair Stylist Marissa Marino
Alexandra Shipp & Background Stylist Lisa Catalina Aliberti
Alexandra Shipp Makeup Artist Dana Delaney
Alexandra Shipp Hair Stylist Miles Jeffries
Gaffer Monty Sloan
BBE Emma Barda
Electric Miguel Escalona
Electric Jesse Lee
Electric Micah Goldfarb

Key Grip Brad Powers
BBG Valfrie Tabian Jr.
Grip Ezra Graye
Grip Simeon Mihaylov
Grip Nicholas Luna 

Production Designer Leo Johnson
Prop Master Anjelica Vasquez
Set Decorator Zoe Hazlatt
Leadman Hank Kulesa
Lead Assist David Ruiz
SFX Cristian Torres
SFX Arni Peterson
Stunt Coordinator Rob Brown - I Am Water Stunts 
VFX Supervisor Ben Kadie

Casting Director Nele Moens
Sound Tyler Lydell

Production Support
Tatum Blake
Aaron Brumback
Preston Oliver
Kylia Azevedo
Brandon Rook
Tyler Borchardt
Ryan Hall
Vernon Davis
Sean Okawa

CAST 
Charity Brown 
Liborio Moreno
Briana King 
Alyssa Lytle 
Ian Lucas
Mckayla Chandler
Micah Gabriel 
Jonathan Mendoza 
Parish Helena 
Oli Andersson

Music video by Reneé Rapp performing Mad.© 2025 Interscope Records","2113548","Music","Reneé Rapp;Interscope Records;Pop","180","3:00","False","https://i.ytimg.com/vi/xkWQM3flsiY/maxresdefault.jpg","Reneé Rapp","https://www.youtube.com/channel/UCZy4ki_L4bzw9LdJ1TgQy6Q","408000"
"Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso","Music video by Sabrina Carpenter performing Espresso.© 2024 Island Records, a division of UMG Recordings, Inc.","472570966","Music","Sabrina Carpenter;Island Records;Pop","201","3:21","False","https://i.ytimg.com/vi/eVli-tstM5E/maxresdefault.jpg","Sabrina Carpenter","https://www.youtube.com/channel/UC4mYKePIas5YgGfYZ2J2OxQ","12300000"
"Lady Gaga - Abracadabra (Official Music Video)","Lady Gaga - Abracadabra (Official Music Video)","MAYHEM OUT NOW
http://ladygaga.com
 
Directed by Lady Gaga, Parris Goebel and Bethany Vargas
 
Follow Lady Gaga:
Facebook: https://www.facebook.com/ladygaga
Instagram: https://www.instagram.com/ladygaga
TikTok: https://www.tiktok.com/@ladygaga
Twitter: https://twitter.com/ladygaga
YouTube: https://www.youtube.com/ladygaga
Website: https://www.ladygaga.com

Music video by Lady Gaga performing Abracadabra.© 2025 Interscope Records","191073418","Music","Lady Gaga;Interscope Records;Pop;lady gaga abracadabra;lady gaga abracadabra lg7;lady gaga abracadabra tradução;lady gaga abracadabra traducao;lady gaga brasil;lady gaga copacabana;abracadabra musica;abracadabra música;lady gaga abracadabra legendado;レディー・ガガ;레이디 가가;女神卡卡;嘎嘎小姐;abracadabra;2025;mayhem","269","4:29","False","https://i.ytimg.com/vi/vBynw9Isr28/maxresdefault.jpg","Lady Gaga","https://www.youtube.com/channel/UC07Kxew-cMIaykMOkzqHtBQ","29600000"
"Ed Sheeran - Sapphire (Official Music Video)","Ed Sheeran - Sapphire (Official Music Video)","Listen to 'Sapphire' now: https://es.lnk.to/sapphireID

""Sapphire was the first song I finished for Play that made me know where the album was heading. It's why I finished the recording process in Goa surrounded by some of the best musicians in India. It was an incredible creative process. I shot the music video with Liam Pethick and Nic Minns across my India tour earlier this year, we wanted to showcase the beauty and breadth of the country and its culture. The final jigsaw piece for me was getting @Official_ArijitSingh on the record, but it was a journey to get there and such an amazing day of music and family. Me and him have done a full Punjabi version of the song that will come out in the next few weeks, which has a lot more of him on it. This is the album version of the song, and my favourite song on the album. Hope you guys love it. Sapphire out now"" - Ed x

Brand new album 'Play' out now: https://es.lnk.to/play

Sapphire - Behind the Scenes Google Map: https://es.lnk.to/SapphireMapDE

Subscribe to Ed's channel: http://bit.ly/SubscribeToEdSheeran

Follow Ed on...
Instagram: http://instagram.com/teddysphotos
TikTok: https://www.tiktok.com/@edsheeran
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Discord: http://discord.gg/edsheeran
Official Website: http://edsheeran.com

Credits
Director: Liam Pethick @liampethickphoto
Producer & Commissioner:  Dan Curwin @dancurwin
DOP: Nic Minns @nicminns
Styling: Liberty Shaw @libertyshaw_stylist / Hillary Owens @hilary_owenstylist

Production Agency: Mouthpiece / Claire Stubbs @mouthpiece_rep
Production House: Kulfi Collective @kulfi.collective
CEO & Co Founder (Kulfi) - Advait Gupt
COO (Kulfi) - Manoti Jain
Head of Production (Kulfi) - Kalpit Damania
Sr Creative Producer (Kulfi) - Bhumit Shah @thecurlybrainstormer
Executive Producer (Kulfi - Ops) - Sunny Dixit
Line Production: Cross The Line Productions @crossthelinep
Head of Production (CTLP) : Ravi Dixit
Line Producer (CTLP): Karan Soni @_karan.s._

Editor: Liam Pethick
Colour: No.8 @no8ldn
Colourist: Jonny Tully @jonnytully
No.8 EP: Ollie Ireland @ollieireland

----
Lyrics

You’re glowing
You colour and fracture the light
You can’t help but shine
And I know that
You carry the world on your back
But look at you tonight
The lights

Your face
Your eyes
Exploding
Like fireworks
In the sky
Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Look what we found
Karma reached out
Into our hearts and pulled us to our feet now
You know the truth is
We could disappear
Anywhere as long as I got you there
When the sun dies
Till the day shines
When I’m with you
There’s not enough time
You are my spring flower
Watching you bloom, wow
We’re are surrounded but I can only see
The lights
Your face
Your eyes
Exploding
Like fireworks
In the sky

Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Sapphire
You’re glowing
You’re glowing
You colour and fracture the light
Look at you
Tonight
Sapphire

महरूनी, दो नैण लुभाए
चांदणी चम चम चमकाए
नूर दा मेनूं घूंट पिलाए
जिंदड़ी बण जाए
अंबरां दी तू झालर पाए
बद्दळां दे लट्ठे सूट बणाए
किरणां नूं रंग रूप चटाए
मोरणी बण जाए

पलकां उठावे ते हनेरे घट्ट दे
उंगला’च पाके तू धनक फिरदी
किवे रब ने दो नैणा उते नीलम जड़े
चम चम चमके सितारे वरगी
Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Sapphire
Touching on your body while you’re pushing on me
Don’t you end the party
I could do this all week
We’ll be dancing till the morning
Go to bed we won’t sleep
Cham cham chamke sitare wargi
Sapphire
The lights
Your face
Your eyes

Exploding
Like fireworks
In the sky
Sapphire","184696317","Music","edsheeran;ed sheeran;acoustic;live;cover;official;remix;official video;lyrics;session;ed sheeran sapphire;ed sheeran india;sapphire;ed sheeran music video;ed sheeran video;ed sheeran play;ed sheeran sapphire lyrics;sapphire lyrics;sapphire music video;ed sheeran sapphire india;sapphire india;sapphire official music video;sapphire ed sheeran;ed sheeran official video;sapphire play;official music video;sapphire lyrics ed sheeran;arijit singh","183","3:03","False","https://i.ytimg.com/vi_webp/JgDNFQ2RaLQ/maxresdefault.webp","Ed Sheeran","https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A","58500000"
"yung kai - blue (official music video)","yung kai - blue (official music video)","Stream my track and follow me on socials: https://linktr.ee/yungkaiboy

Cast:
yung kai
https://www.instagram.com/ykaizzk
Julia Ma
https://www.instagram.com/juliama/

Director: Kenji K Chong 
Producer: Gensho Tasaka Genshott
Production Company: Yojimbo Productions
Creative Producer: Bo Nawacharee 

Director of Photography: Simon Gulergun 
1st Assistant Camera: Nevo Shirazi 
Steadicam Operator: Leandro Imaz 

Gaffer: Kevin Shanmugam 

VFX: Magic Soup Studio 
Colorist: fljanks 
Editor: Kenji K Chong 

Production Coordinator: Connor Hurley  
Production Assistant: German Alonso

Lyrics
Your morning eyes, I could stare like watching stars
I could walk you by, and I'll tell without a thought
You'd be mine, would you mind if I took your hand tonight?
Know you're all that I want this life

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?

My love will always stay by you
I'll keep it safe, so don't you worry a thing, I'll tell you I love you more
It's stuck with you forever, so promise you won't let it go
I'll trust the universe will always bring me to you

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?","187281056","People & Blogs","yung kai;blue;tiktok viral;tik tok;wave to earth;keshi;beabadoobee;laufey;mxmtoon;w2e;kpop;yung kai blue;blue yung kai;kai blue;blue kai;wild flower;wildflower;yung kai wildflower;wildflower yung kai;blue official music video;blue music vide;blue audio;blue official audio;blue lyrics","221","3:41","False","https://i.ytimg.com/vi_webp/IpFX2vq8HKw/maxresdefault.webp","yung kai","https://www.youtube.com/channel/UCy1FLad-XXw7QZGNuNIuMow","1220000"
"Billie Eilish - WILDFLOWER (BILLIE BY FINNEAS)","Billie Eilish - WILDFLOWER (BILLIE BY FINNEAS)","HIT ME HARD AND SOFT (WITH ALL ISOLATED VOCALS) is available now to download: https://BillieEilish.lnk.to/ISOLATED 

L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT] out now: https://billieeilish.lnk.to/OVERNOW

Listen to HIT ME HARD AND SOFT, the new album from Billie Eilish, out now: https://BillieEilish.lnk.to/HITMEHARDANDSOFT 
Shop exclusive vinyl, CD and more: http://BillieEilish.lnk.to/Store 
Get tickets: https://BillieEilish.lnk.to/TourDates

Courtesy of the Kia Forum

Follow Billie Eilish:
TikTok: https://BillieEilish.lnk.to/TikTok
Instagram: https://BillieEilish.lnk.to/Instagram
Facebook: https://BillieEilish.lnk.to/Facebook
Twitter: https://BillieEilish.lnk.to/Twitter
YouTube: https://www.youtube.com/billieeilish 
WhatsApp: https://BillieEilish.lnk.to/WhatsApp 
Email: https://BillieEilish.lnk.to/SignUp 
Store: https://BillieEilish.lnk.to/Store 
Cell: +1 (310) 807-3956 

Music video by Billie Eilish performing WILDFLOWER ((BILLIE BY FINNEAS)). © 2024 Darkroom/Interscope Records

http://vevo.ly/n4PCJt","40408980","Music","Billie Eilish;Darkroom/Interscope Records;Alternative","261","4:21","False","https://i.ytimg.com/vi/IWKyykQBRKo/maxresdefault.jpg","Billie Eilish","https://www.youtube.com/channel/UCDGmojLIoWpXok597xYo8cg","56800000"
